objectid,行政區,地標類型,地標名稱,地址,電話,網址,twd97_x,twd97_y,更新日期
1,三芝區,大專院校,私立馬偕醫學院,新北市三芝區古庄里1鄰中正路三段46號,02-26360303,,300033.79000000,2793883.34000000,2024-12-26 09:28:17.233000
2,三芝區,大專院校,私立馬偕醫護管理專科學校三芝校區,新北市三芝區古庄里1鄰中正路三段42號,02-26366799,,300191.93000000,2793604.77000000,2024-12-26 09:28:17.233000
3,三峽區,大專院校,國立臺北大學三峽校區,新北市三峽區龍恩里23鄰大學路151號,02-26748189,,287682.93000000,2759752.50000000,2024-12-26 09:28:17.233000
4,土城區,大專院校,私立宏國德霖科技大學,新北市土城區清化里1鄰青雲路380巷1號,02-22733567,,296082.43000000,2762923.08000000,2024-12-26 09:28:17.233000
5,中和區,大專院校,私立華夏科技大學,新北市中和區華新里44鄰工專路111號,02-89415100,,301259.57000000,2763722.47000000,2024-12-26 09:28:17.233000
6,石碇區,大專院校,私立華梵大學,新北市石碇區豐田里4鄰華梵路1號,02-26632102,,319873.73000000,2763741.68000000,2024-12-26 09:28:17.233000
7,林口區,大專院校,私立醒吾科技大學,新北市林口區東林里18鄰粉寮路一段101號,02-26015310,,290117.41000000,2774735.31000000,2024-12-26 09:28:17.233000
8,林口區,大專院校,國立臺灣師範大學林口校區,新北市林口區林口里2鄰仁愛路一段2號,02-77148888,,290147.64000000,2773360.99000000,2024-12-26 09:28:17.233000
9,板橋區,大專院校,私立亞東科技大學,新北市板橋區華東里18鄰四川路二段58號,02-77380145,,295738.24000000,2765319.13000000,2024-12-26 09:28:17.233000
10,板橋區,大專院校,私立致理科技大學,新北市板橋區忠誠里1鄰文化路一段313號,02-22576167,,296945.52000000,2768180.51000000,2024-12-26 09:28:17.233000
11,板橋區,大專院校,國立臺灣藝術大學,新北市板橋區浮洲里15鄰大觀路一段59號,02-22722181,,295174.94000000,2766503.76000000,2024-12-26 09:28:17.233000
12,金山區,大專院校,私立法鼓山僧伽大學,新北市金山區三界里7鄰法鼓路555號,02-24987171,,311973.73000000,2792625.80000000,2024-12-26 09:28:17.233000
13,金山區,大專院校,私立法鼓文理學院,新北市金山區西湖里4鄰法鼓路700號,02-24980707,,312138.34000000,2793100.43000000,2024-12-26 09:28:17.233000
14,泰山區,大專院校,私立明志科技大學,新北市泰山區貴子里9鄰工專路84號,02-29089899,,292609.02000000,2770340.67000000,2024-12-26 09:28:17.233000
15,泰山區,大專院校,私立黎明技術學院,新北市泰山區黎明里3鄰泰林路三段22號,02-29097811,,292333.89000000,2773142.39000000,2024-12-26 09:28:17.233000
16,淡水區,大專院校,私立台北海洋科技大學淡水校區,新北市淡水區沙崙里8鄰濱海路三段150號,02-28102292,,292919.33000000,2787131.17000000,2024-12-26 09:28:17.233000
17,淡水區,大專院校,私立真理大學台北校區,新北市淡水區文化里12鄰真理街32號,02-26212121,,293806.29000000,2785292.84000000,2024-12-26 09:28:17.233000
18,淡水區,大專院校,私立淡江大學淡水校園,新北市淡水區中興里6鄰英專路151號,02-26215656,,295065.94000000,2785105.38000000,2024-12-26 09:28:17.233000
19,淡水區,大專院校,私立聖約翰科技大學,新北市淡水區賢孝里4鄰淡金路四段499號,02-28013131,,295455.83000000,2791028.93000000,2024-12-26 09:28:17.233000
20,深坑區,大專院校,私立東南科技大學,新北市深坑區萬福里4鄰北深路三段152號,02-86625900,,311041.98000000,2766404.77000000,2024-12-26 09:28:17.233000
21,新店區,大專院校,私立耕莘健康管理專科學校新店校區,新北市新店區百和里14鄰民族路112號,02-22191131,,304217.51000000,2763344.41000000,2024-12-26 09:28:17.233000
22,新店區,大專院校,私立景文科技大學,新北市新店區公崙里37鄰安忠路99號,02-82122000,,301426.91000000,2760555.93000000,2024-12-26 09:28:17.233000
23,新莊區,大專院校,私立天主教輔仁大學,新北市新莊區營盤里19鄰中正路510號,02-29052000,,293829.74000000,2769474.64000000,2024-12-26 09:28:17.233000
24,蘆洲區,大專院校,國立空中大學,新北市蘆洲區保佑里18鄰中正路172號,02-22829355,,297210.34000000,2775480.21000000,2024-12-26 09:28:17.233000
25,蘆洲區,大專院校,國立空中大學北二中心,新北市蘆洲區保佑里18鄰中正路172號,02-22829355#3151,,297210.34000000,2775480.21000000,2024-12-26 09:28:17.233000
26,八里區,公所,八里區公所,新北市八里區頂罟里7鄰八里大道18號,02-26102621,,290927.82000000,2782924.69000000,2024-12-26 09:28:17.233000
27,三芝區,公所,三芝區公所,新北市三芝區埔頭里27鄰中山路一段32號,02-26362111,,300476.96000000,2794431.07000000,2024-12-26 09:28:17.233000
