,name,county,countycode,town,areacode,address,phone,types,Lat,Lng,geometry
0,民享公有市場,新北市,65000.0,中和區,65000030.0,新北市中和區民享街37號,(02)22492868,早市及黃昏市場,25.00354, 121.474151,"'lat': 25.00354, 'lng': 121.474151"
1,枋寮公有市場,新北市,65000.0,中和區,65000030.0,新北市中和區中和路74號,(02)22492868,早市,25.000504, 121.501019,"'lat': 25.000504, 'lng': 121.501019"
2,和平街攤販集中區,新北市,65000.0,中和區,65000030.0,新北市中和區和平街89號,(02)29410176,黃昏市場,24.9920858, 121.5053413,"'lat': 24.9920858, 'lng': 121.5053413"
3,好市多,新北市,65000.0,中和區,65000030.0,新北市中和區中山路二段347號,02-449-9909,,25.0025603, 121.4924664,"'lat': 25.0025603, 'lng': 121.4924664"
4,大潤發中和店,新北市,65000.0,中和區,65000030.0,新北市中和區中山路二段228號B2,02-82411111,,25.0030314, 121.4988184,"'lat': 25.0030314, 'lng': 121.4988184"
5,大潤發景平店,新北市,65000.0,中和區,65000030.0,新北市中和區景平路182號B1,02-29436000,,24.9924085, 121.5164033,"'lat': 24.9924085, 'lng': 121.5164033"
6,家樂福中和店,新北市,65000.0,中和區,65000030.0,新北市中和區中山路二段295號B1,02-8245-5566,量販店,25.0018853, 121.4960574,"'lat': 25.0018853, 'lng': 121.4960574"
7,家樂福景安店,新北市,65000.0,中和區,65000030.0,新北市中和區景平路353號B1,02-2240-9628,24H超市,24.9932475, 121.5047146,"'lat': 24.9932475, 'lng': 121.5047146"
8,家樂福中和中山店,新北市,65000.0,中和區,65000030.0,新北市中和區中山路三段1-3號,02-8221-2870,24H超市,25.0058219, 121.4799036,"'lat': 25.0058219, 'lng': 121.4799036"
9,家樂福中和民治店,新北市,65000.0,中和區,65000030.0,新北市中和區民治街120號,02-8221-8517、02-8221-8597,24H超市,25.0033531, 121.4753288,"'lat': 25.0033531, 'lng': 121.4753288"
10,家樂福中和復興店,新北市,65000.0,中和區,65000030.0,新北市中和區復興路268號,02-8242-3945,24H超市,24.9905691, 121.5030633,"'lat': 24.9905691, 'lng': 121.5030633"
11,家樂福中和圓通店,新北市,65000.0,中和區,65000030.0,新北市中和區圓通路274號,02-2249-8224、02-2249-7404,量販店,24.9910796, 121.4924186,"'lat': 24.9910796, 'lng': 121.4924186"
12,家樂福中和壽德店,新北市,65000.0,中和區,65000030.0,新北市中和區壽德街20號1樓,02-2964-3543、02-2964-3541,量販店,24.9947666, 121.4661395,"'lat': 24.9947666, 'lng': 121.4661395"
13,家樂福中和興南店,新北市,65000.0,中和區,65000030.0,新北市中和區興南路一段20號B1,02-2948-1240~1,24H超市,24.991129, 121.5112766,"'lat': 24.991129, 'lng': 121.5112766"
14,全聯中和新生店,新北市,65000.0,中和區,65000030.0,新北市中和區新生街255、257號,02-22267175,,24.9982692, 121.4840997,"'lat': 24.9982692, 'lng': 121.4840997"
15,全聯中和秀朗店,新北市,65000.0,中和區,65000030.0,新北市中和區秀朗路３段175巷2號,02-29466606,,24.9908784, 121.5243476,"'lat': 24.9908784, 'lng': 121.5243476"
16,全聯南華店,新北市,65000.0,中和區,65000030.0,新北市中和區南華路２７號Ｂ１,02-22482639,,24.9960811, 121.5029865,"'lat': 24.9960811, 'lng': 121.5029865"
17,全聯中和光華店,新北市,65000.0,中和區,65000030.0,新北市中和區光華街31巷2號1樓,02-82455860,,25.0040645, 121.5052387,"'lat': 25.0040645, 'lng': 121.5052387"
18,全聯中和中山店,新北市,65000.0,中和區,65000030.0,新北市中和區中山路３段35-2號,02-82267105,,25.0055659, 121.4787058,"'lat': 25.0055659, 'lng': 121.4787058"
19,全聯中和景平店,新北市,65000.0,中和區,65000030.0,新北市中和區景平路541號B1、543號1樓、B1,02-82451916,,24.9993202, 121.498577,"'lat': 24.9993202, 'lng': 121.498577"
20,全聯中和大勇店,新北市,65000.0,中和區,65000030.0,新北市中和區大勇街78號,02-29495972,,24.9947291, 121.5182537,"'lat': 24.9947291, 'lng': 121.5182537"
21,全聯中和福祥店,新北市,65000.0,中和區,65000030.0,新北市中和區福祥路72號,02-22430586,,25.0052964, 121.4993827,"'lat': 25.0052964, 'lng': 121.4993827"
22,全聯中和民德店,新北市,65000.0,中和區,65000030.0,新北市中和區民德路187號,02-29620320,,24.9992659, 121.4685998,"'lat': 24.9992659, 'lng': 121.4685998"
23,全聯中和南山店,新北市,65000.0,中和區,65000030.0,新北市中和區南山路146巷1號1樓,02-22400572,,24.9921612, 121.5037843,"'lat': 24.9921612, 'lng': 121.5037843"
24,全聯中和南勢角店,新北市,65000.0,中和區,65000030.0,新北市中和區捷運路29.31.33.35號,02-29401270,,24.9894402, 121.5093727,"'lat': 24.9894402, 'lng': 121.5093727"
25,全聯中和華夏店,新北市,65000.0,中和區,65000030.0,新北市中和區工專路26號2樓、28、30號1-2樓,02-29401736,,24.9810374, 121.5070329,"'lat': 24.9810374, 'lng': 121.5070329"
26,全聯中和安邦店,新北市,65000.0,中和區,65000030.0,新北市中和區安邦街18號1-2樓,02-22400796,,24.9978416, 121.4960166,"'lat': 24.9978416, 'lng': 121.4960166"
27,全聯中和華新店,新北市,65000.0,中和區,65000030.0,新北市中和區華新街26-1號1樓、26-2號B1,02-29400755,,24.9845672, 121.5076414,"'lat': 24.9845672, 'lng': 121.5076414"
28,全聯中和捷運店,新北市,65000.0,中和區,65000030.0,新北市中和區中山路二段269號B1,02-22401799,,25.0021568, 121.4970006,"'lat': 25.0021568, 'lng': 121.4970006"
