鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,道路名稱,段,分類標籤,Lat,Lng
中和區,房地(土地+建物),新北市中和區興南路一段１０５巷２０弄１７號三樓,12.87,住,,,2023-01-06,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,Ｒ．Ｃ造,1975-06-18,41.4,2,1,1,有,無,6900000,166667.0,,0.0,0,陽台外推；,RPQRMLRKJHIGFHF78DA,35.2,0.0,6.2,無,新北市中和區興南路,新北市中和區興南路一段,新北市中和區興南路一段,24.9852149,121.5103486
中和區,房地(土地+建物),新北市中和區國光街１０２巷２７號四樓,16.98,住,,,2022-12-10,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1980-02-09,64.74,3,1,1,有,無,8100000,125116.0,,0.0,0,陽台外推；,RPRQMLQJJHIGFHF58DA,64.74,0.0,0.0,無,新北市中和區國光街,,新北市中和區國光街,25.0007532,121.4713008
中和區,房地(土地+建物),新北市中和區大勇街５７號十二樓,10.8,住,,,2022-12-11,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2005-08-25,76.49,2,2,1,有,有,14800000,193489.0,,0.0,0,其他增建；,RPUNMLTJJHIGFHF98EA,49.74,0.0,3.68,有,新北市中和區大勇街,,新北市中和區大勇街,24.9952137,121.5176433
中和區,房地(土地+建物),新北市中和區景平路４９０號十五樓之七,3.93,,,,2022-12-22,土地2建物1車位0,十五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,2008-05-01,55.98,1,1,1,有,有,9700000,173276.0,,0.0,0,,RPXNMLTJJHIGFHF66EA,33.85,0.0,0.0,有,新北市中和區景平路,,新北市中和區景平路,24.9939162,121.5048345
中和區,房地(土地+建物),新北市中和區中正路７５３號十四樓之二,3.08,住,,,2022-12-17,土地1建物1車位0,十四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1996-09-19,43.96,1,1,1,有,有,6150000,139900.0,,0.0,0,,RPUQMLTJJHIGFHF56DA,27.48,0.0,4.14,有,新北市中和區中正路,,新北市中和區中正路,24.999849,121.4847919
中和區,房地(土地+建物),新北市中和區民德路１５９號三樓,17.23,住,,,2022-12-11,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,2011-03-18,138.17,3,2,2,有,有,18680000,135196.0,,0.0,0,,RPPQMLNJJHIGFHF08DA,83.72,5.04,10.71,有,新北市中和區民德路,,新北市中和區民德路,24.9997916,121.468704
中和區,房地(土地+建物),新北市中和區連城路４２８巷１６弄７號五樓,24.75,住,,,2022-12-18,土地1建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1980-03-14,88.25,3,2,1,有,無,9200000,104249.0,,0.0,0,,RPPOMLLJJHIGFHF67DA,88.25,0.0,0.0,無,新北市中和區連城路,,新北市中和區連城路,24.9957841,121.4803965
中和區,房地(土地+建物)+車位,新北市中和區橋和路１６０巷２０號九樓,15.92,住,,,2022-12-21,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1998-12-30,150.33,3,2,2,有,有,19600000,130052.0,坡道平面,15.0,2000000,,RPQTMLQLKIHGFHF09DA,80.26,1.11,8.75,有,新北市中和區橋和路,,新北市中和區橋和路,25.0062258,121.4942967
中和區,房地(土地+建物),新北市中和區興南路二段１２８巷９弄５號,31.12,住,,,2022-12-12,土地2建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1979-11-30,89.45,5,0,5,有,無,10500000,117384.0,,0.0,0,陽台外推；,RPTNMLTJJHIGFHF78DA,89.45,0.0,0.0,無,新北市中和區興南路,新北市中和區興南路二段,新北市中和區興南路二段,24.98429,121.5033912
中和區,房地(土地+建物),新北市中和區福美路３０１巷７號,26.93,住,,,2022-12-21,土地1建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1977-09-17,82.8,3,1,2,有,無,10000000,120773.0,,0.0,0,,RPXRMLKKJHIGFHF78DA,82.8,0.0,0.0,無,新北市中和區福美路,,新北市中和區福美路,25.0045863,121.4974959
中和區,房地(土地+建物),新北市中和區四維街２９號六樓,9.65,住,,,2022-12-11,土地1建物1車位0,六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,2012-01-20,92.87,2,2,1,有,有,14460000,155702.0,,0.0,0,其他增建；,RPVQMLKKJHIGFHF48DA,54.62,4.57,4.58,有,新北市中和區四維街,,新北市中和區四維街,24.9865575,121.5129442
中和區,房地(土地+建物),新北市中和區保健路１０６巷４弄１２號四樓,25.14,住,,,2022-12-13,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,Ｒ．Ｃ架構,1973-05-03,72.87,3,2,1,有,無,11100000,152326.0,,0.0,0,頂樓加蓋；其他增建；,RPPNMLLKJHIGFHF77EA,59.65,0.0,13.22,無,新北市中和區保健路,,新北市中和區保健路,24.9959905,121.5119086
中和區,房地(土地+建物),新北市中和區景安路１７３號四樓,37.76,住,,,2022-12-15,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,Ｒ‧Ｃ造,1975-02-01,95.29,5,1,1,有,無,13360000,140204.0,,0.0,0,頂樓加蓋；,RPOQMLLKJHIGFHF97EA,90.79,0.0,4.5,無,新北市中和區景安路,,新北市中和區景安路,24.9942593,121.5053571
中和區,房地(土地+建物),新北市中和區景新街４６７巷２０弄１５０之１號五樓,41.79,住,,,2022-12-17,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1981-12-19,95.28,6,4,4,有,無,9700000,101805.0,,0.0,0,陽台外推；頂樓加蓋；,RPSOMLMKJHIGFHF28EA,79.56,0.0,15.72,無,新北市中和區景新街,,新北市中和區景新街,24.9876149,121.5151251
中和區,房地(土地+建物),新北市中和區華順街１３５巷１６號二樓,10.09,住,,,2022-12-13,土地1建物1車位0,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,2016-04-21,56.68,2,1,1,有,有,8100000,142908.0,,0.0,0,,RPUQMLNJJHIGFHF58DA,24.01,2.22,2.38,有,新北市中和區華順街,,新北市中和區華順街,24.9961312,121.465358
中和區,房地(土地+建物),新北市中和區中正路７２５號,26.82,住,,,2022-12-04,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,1986-01-09,101.64,0,0,1,有,無,20000000,196773.0,,0.0,0,本案拆算土地及建物價格。土地總價：新台幣1927萬4千元正；建物總價：新台幣72萬6千元正。其他增建；,RPQQMLOJJHIGFHF28DA,86.67,9.43,0.0,無,新北市中和區中正路,,新北市中和區中正路,24.9988899,121.484865
中和區,房地(土地+建物)+車位,新北市中和區宜安路１８巷２２之２號二樓,14.93,住,,,2022-12-11,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,2022-02-08,103.28,2,2,1,有,有,16220000,176591.0,塔式車位,20.49,1600000,其他增建；,RPWPMLQJJHIGFHF98DA,47.93,0.0,7.46,有,新北市中和區宜安路,,新北市中和區宜安路,24.9965048,121.5137811
中和區,房地(土地+建物),新北市中和區中山路三段１８１巷１８弄４１號四樓,43.23,住,,,2022-12-25,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1983-11-29,87.38,3,2,2,有,有,9000000,102998.0,,0.0,0,,RPUOMLMKJHIGFHF38DA,75.0,0.0,7.38,無,新北市中和區中山路,新北市中和區中山路三段,新北市中和區中山路三段,25.0049534,121.4725148
中和區,房地(土地+建物)+車位,新北市中和區圓通路３６７巷３３弄８１號,86.89,都市：其他:住宅區,,,2022-12-13,土地4建物1車位1,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2009-09-01,151.0,3,2,2,有,有,14000000,107210.0,坡道平面,39.07,2000000,,RPUQMLMKJHIGFHF58DA,75.57,0.0,9.41,有,新北市中和區圓通路,,新北市中和區圓通路,24.984305,121.4955032
中和區,房地(土地+建物),新北市中和區景新街３３７之６號九樓,9.29,商,,,2022-12-03,土地1建物1車位0,九層,三十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,2022-02-24,130.69,3,2,2,有,有,22980000,175836.0,,0.0,0,,RPWRMLSLKIHGFHF07DA,75.78,3.45,8.36,有,新北市中和區景新街,,新北市中和區景新街,24.9912356,121.5119804
中和區,房地(土地+建物),新北市中和區景新街３３７之７號六樓,4.29,商,,,2022-12-22,土地1建物1車位0,六層,三十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,2022-02-24,61.01,1,1,1,有,有,11450000,187674.0,,0.0,0,,RPSPMLQKJHIGFHF78EA,36.03,0.0,4.86,有,新北市中和區景新街,,新北市中和區景新街,24.9912356,121.5119804
中和區,房地(土地+建物),新北市中和區中正路８１７號八樓之二,2.54,都市：其他:住宅區,,,2022-12-30,土地2建物1車位0,八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1999-09-15,30.17,1,1,1,有,有,4000000,132538.0,,0.0,0,,RPQNMLNKJHIGFHF08EA,20.96,0.0,3.11,有,新北市中和區中正路,,新北市中和區中正路,25.0020295,121.4846253
中和區,房地(土地+建物)+車位,新北市中和區中山路二段３３２巷１７號十樓,18.4,工,,,2022-12-13,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土構造,2017-01-18,154.06,0,0,0,無,有,17780000,129069.0,坡道平面,30.25,1800000,,RPVQMLMKJHIGFHF68DA,59.92,0.0,18.82,有,新北市中和區中山路,新北市中和區中山路二段,新北市中和區中山路二段,25.0025604,121.4940828
中和區,房地(土地+建物)+車位,新北市中和區中山路二段３３２巷５３號十一樓,19.65,工,,,2022-12-17,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土構造,2017-01-18,170.46,0,0,0,無,有,19550000,128205.0,坡道平面,33.57,2000000,,RPWQMLMKJHIGFHF78DA,70.96,6.84,7.43,有,新北市中和區中山路,新北市中和區中山路二段,新北市中和區中山路二段,25.0041865,121.493999
中和區,房地(土地+建物),新北市中和區信義街２之５號三樓,19.83,住,,,2022-12-12,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,1984-09-07,81.75,3,2,2,有,無,11200000,137003.0,,0.0,0,陽台外推；,RPURMLNKJHIGFHF78DA,74.17,0.0,7.58,無,新北市中和區信義街,,新北市中和區信義街,24.989675,121.5108169
中和區,房地(土地+建物),新北市中和區景安路２４７巷１３號五樓,30.01,住,,,2022-12-10,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1986-12-10,103.99,3,2,2,有,無,13350000,128378.0,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPWRMLNKJHIGFHF98DA,87.19,0.0,10.44,無,新北市中和區景安路,,新北市中和區景安路,24.9905807,121.5040771
中和區,房地(土地+建物),新北市中和區忠孝街５８巷３０弄５號二樓,48.54,住,,,2022-12-04,土地3建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1980-07-24,79.8,2,2,1,有,無,8160000,102256.0,,0.0,0,,RPSNMLOKJHIGFHF28DA,79.8,0.0,0.0,無,新北市中和區忠孝街,,新北市中和區忠孝街,24.9826925,121.5121954
中和區,房地(土地+建物),新北市中和區景平路７０３巷２弄１０號五樓,21.44,商,,,2022-12-17,土地4建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1979-01-17,83.04,3,2,1,有,無,9500000,114403.0,,0.0,0,陽台外推；頂樓加蓋；,RPPNMLQKJHIGFHF18DA,83.04,0.0,0.0,無,新北市中和區景平路,,新北市中和區景平路,25.0038852,121.4961148
中和區,房地(土地+建物)+車位,新北市中和區圓通路２９９巷２４號三樓,28.34,住,,,2022-12-10,土地2建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2008-10-07,165.37,4,2,3,有,有,19360000,117071.0,坡道機械,11.8,0,,RPQQMLQKJHIGFHF58DA,94.2,1.72,7.97,有,新北市中和區圓通路,,新北市中和區圓通路,24.9910751,121.4950949
中和區,房地(土地+建物)+車位,新北市中和區中山路二段３３２巷１７號十二樓,18.4,工,,,2022-12-12,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土構造,2017-01-18,157.39,0,0,0,無,有,17780000,128251.0,坡道平面,33.57,1900000,,RPTQMLMKJHIGFHF48DA,59.92,0.0,18.82,有,新北市中和區中山路,新北市中和區中山路二段,新北市中和區中山路二段,25.0025604,121.4940828
中和區,房地(土地+建物),新北市中和區景平路５９之２０號二樓,4.37,住,,,2022-12-13,土地1建物1車位0,二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1996-10-30,53.19,1,1,1,有,有,6800000,127844.0,,0.0,0,,RPXQMLRKJHIGFHF76DA,45.81,0.57,0.0,有,新北市中和區景平路,,新北市中和區景平路,24.9906251,121.521169
中和區,房地(土地+建物),新北市中和區圓通路１５８巷９弄２５號二樓,38.14,住,,,2022-12-13,土地3建物1車位0,二層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1980-01-08,110.1,3,1,1,有,無,13500000,122616.0,,0.0,0,,RPVQMLQKJHIGFHF09DA,110.1,0.0,0.0,無,新北市中和區圓通路,,新北市中和區圓通路,24.9963693,121.4975584
中和區,房地(土地+建物),新北市中和區中正路４１２號三樓,51.05,住,,,2022-12-29,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1991-06-24,122.76,3,2,2,有,無,16500000,134409.0,,0.0,0,陽台外推；,RPTTMLRKJHIGFHF76EA,102.64,0.36,11.65,無,新北市中和區中正路,,新北市中和區中正路,24.9942817,121.4920406
中和區,房地(土地+建物),新北市中和區中正路１６９號九樓之十六,8.77,都市：其他:住宅區,,,2022-11-20,土地2建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2005-08-05,84.96,2,2,1,有,有,13000000,153013.0,,0.0,0,夾層；其他增建；,RPTPMLSJKIHGFHF98DA,48.62,0.0,6.67,有,新北市中和區中正路,,新北市中和區中正路,24.9935169,121.4980109
中和區,房地(土地+建物),新北市中和區景安路１８３號四樓,45.47,住,,,2022-11-28,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,1975-05-15,134.04,4,2,2,有,無,15900000,118621.0,,0.0,0,,RPWQMLSJKIHGFHF76DA,134.04,0.0,0.0,無,新北市中和區景安路,,新北市中和區景安路,24.9930852,121.5050056
中和區,房地(土地+建物),新北市中和區中山路二段２巷４５弄２６號四樓,30.23,住,,,2022-11-27,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1981-01-30,102.57,3,2,1,有,無,11400000,111144.0,,0.0,0,,RPWPMLLKJHIGFHF58DA,102.57,0.0,0.0,無,新北市中和區中山路,新北市中和區中山路二段,新北市中和區中山路二段,25.0070449,121.5013678
中和區,房地(土地+建物),新北市中和區中正路７２９號五樓,26.82,住,,,2022-11-25,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1986-01-09,101.64,3,2,2,有,無,11000000,108225.0,,0.0,0,陽台外推；頂樓加蓋；,RPQNMLLKJHIGFHF87EA,86.67,0.0,9.43,無,新北市中和區中正路,,新北市中和區中正路,24.9989908,121.4848592
中和區,房地(土地+建物),新北市中和區民生街１０巷１４弄１６號,17.02,住,,,2022-11-14,土地1建物1車位0,,四層,公寓(5樓含以下無電梯),住家用,ＲＣ造,1976-08-19,38.26,2,2,1,有,無,8400000,219550.0,,0.0,0,其他增建；,RPWRMLKKJHIGFHF68DA,38.26,0.0,0.0,無,新北市中和區民生街,,新北市中和區民生街,25.0061669,121.4705019
中和區,房地(土地+建物),新北市中和區景平路１８０號十五樓之十,2.54,都市：其他:住宅區,,,2022-11-30,土地4建物1車位0,,四十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1997-11-04,44.31,1,1,1,有,有,7050000,159106.0,,0.0,0,陽台外推；,RPQSMLSLKIHGFHF56DA,29.3,0.0,5.04,有,新北市中和區景平路,,新北市中和區景平路,24.9924134,121.516477
中和區,房地(土地+建物),新北市中和區連城路３４７巷４弄９號四樓,28.63,住,,,2022-11-29,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1977-09-21,88.69,2,1,1,有,無,9200000,103732.0,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPTQMLNKJHIGFHF58DA,88.69,0.0,0.0,無,新北市中和區連城路,,新北市中和區連城路,24.9954843,121.4878839
中和區,房地(土地+建物),新北市中和區連城路３６１號五樓,12.85,都市：其他:住宅區,,,2022-11-22,土地3建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1999-04-19,107.95,3,2,2,有,有,14800000,137101.0,,0.0,0,其他增建；,RPRQMLQKJHIGFHF68DA,80.44,0.0,6.33,有,新北市中和區連城路,,新北市中和區連城路,24.9960492,121.4876075
中和區,房地(土地+建物),新北市中和區圓通路２９６巷３１弄１２號三樓,20.38,住,,,2022-11-25,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1986-11-21,63.88,2,2,1,有,無,7000000,109580.0,,0.0,0,其他增建；,RPTRMLKLKIHGFHF58DA,55.89,0.0,7.99,無,新北市中和區圓通路,,新北市中和區圓通路,24.9906484,121.4881843
中和區,房地(土地+建物)+車位,新北市中和區華新街８７號五樓,16.53,都市：其他:住宅區,,,2022-11-05,土地2建物1車位1,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1999-05-14,128.47,3,2,2,有,有,15600000,121429.0,坡道機械,4.44,0,,RPSPMLSKJHIGFHF88DA,79.34,1.69,10.34,有,新北市中和區華新街,,新北市中和區華新街,24.9834334,121.5086288
中和區,房地(土地+建物),新北市中和區員山路３２７巷５５號五樓,27.95,住,,,2022-10-21,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1982-12-06,104.96,3,2,1,有,無,9350000,89082.0,,0.0,0,頂樓加蓋；,RPRPMLNKKIHGFHF38DA,89.84,0.0,15.12,無,新北市中和區員山路,,新北市中和區員山路,25.0011936,121.4811687
中和區,房地(土地+建物)+車位,新北市中和區大勇街１０６號九樓,26.36,,,,2022-08-13,土地2建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,2012-01-16,157.89,3,2,2,有,有,26450000,189339.0,坡道機械,27.7,1800000,,RPWPMLMKKIHGFHF78DA,84.73,1.36,6.28,有,新北市中和區大勇街,,新北市中和區大勇街,24.9954531,121.5178713
中和區,房地(土地+建物),新北市中和區安平路１８巷７號,31.02,住,,,2023-01-08,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1986-03-31,98.93,3,2,2,有,無,16250000,164258.0,,0.0,0,,RPPNMLKMJHIGFHF87EA,87.3,11.63,0.0,無,新北市中和區安平路,,新北市中和區安平路,24.9943268,121.5099009
中和區,房地(土地+建物),新北市中和區泰和街３０巷２７號二樓,22.89,住,,,2023-01-11,土地1建物1車位0,二層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1979-11-30,85.6,3,2,1,有,無,11360000,132710.0,,0.0,0,,RPTNMLLMJHIGFHF38EA,85.6,0.0,0.0,無,新北市中和區泰和街,,新北市中和區泰和街,25.0012878,121.4987457
中和區,房地(土地+建物),新北市中和區福祥路９號十九樓之三十,5.23,商,,,2023-01-03,土地3建物1車位0,十九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1998-11-20,56.64,1,1,1,有,有,9350000,165078.0,,0.0,0,,RPQSMLKMJHIGFHF38DA,32.56,0.0,4.81,有,新北市中和區福祥路,,新北市中和區福祥路,25.0036859,121.4993246
中和區,房地(土地+建物),新北市中和區自立路１２９號三樓,18.16,住,,,2023-01-01,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1981-11-20,80.54,3,2,1,有,無,11828000,146859.0,,0.0,0,,RPRPMLLKJHIGFHF08DA,74.34,0.0,6.2,無,新北市中和區自立路,,新北市中和區自立路,24.9941088,121.5221158
