district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31
中和區,土地,錦和段316地號,14.4,都市：其他:人行步道,,,1120105,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1380960,95900,,0,0,包含公共設施保留地用地；,RPRNMLLKJHIGFHF97EA,0,0,0,無
中和區,房地(土地+建物),新北市中和區興南路一段１０５巷２０弄１７號三樓,12.87,住,,,1120106,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,Ｒ．Ｃ造,640618,41.4,2,1,1,有,無,6900000,166667,,0,0,陽台外推；,RPQRMLRKJHIGFHF78DA,35.2,0,6.2,無
中和區,房地(土地+建物),新北市中和區國光街１０２巷２７號四樓,16.98,住,,,1111210,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690209,64.74,3,1,1,有,無,8100000,125116,,0,0,陽台外推；,RPRQMLQJJHIGFHF58DA,64.74,0,0,無
中和區,房地(土地+建物),新北市中和區大勇街５７號十二樓,10.8,住,,,1111211,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940825,76.49,2,2,1,有,有,14800000,193489,,0,0,其他增建；,RPUNMLTJJHIGFHF98EA,49.74,0,3.68,有
中和區,車位,新北市中和區南華路６７、６９號十三樓等,0.75,住,,,1111213,土地1建物1車位1,,,其他,,,,36.99,0,0,0,有,有,2500000,,坡道平面,36.99,2500000,僅車位交易；,RPWNMLTJJHIGFHF56EA,0,0,0,有
中和區,房地(土地+建物),新北市中和區景平路４９０號十五樓之七,3.93,,,,1111222,土地2建物1車位0,十五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,970501,55.98,1,1,1,有,有,9700000,173276,,0,0,,RPXNMLTJJHIGFHF66EA,33.85,0,0,有
中和區,房地(土地+建物),新北市中和區福祥路１１１號三樓,12.36,住,,,1111214,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,660504,38.07,3,2,1,有,無,4000000,105070,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLTJJHIGFHF48EA,38.07,0,0,無
中和區,房地(土地+建物),新北市中和區中正路７５３號十四樓之二,3.08,住,,,1111217,土地1建物1車位0,十四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850919,43.96,1,1,1,有,有,6150000,139900,,0,0,,RPUQMLTJJHIGFHF56DA,27.48,0,4.14,有
中和區,房地(土地+建物),新北市中和區民德路１５９號三樓,17.23,住,,,1111211,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1000318,138.17,3,2,2,有,有,18680000,135196,,0,0,,RPPQMLNJJHIGFHF08DA,83.72,5.04,10.71,有
中和區,土地,員山段318-2地號,4,都市：其他:人行步道,,,1111209,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,302164,75541,,0,0,包含公共設施保留地用地；,RPSQMLPLKIHGFHF88DA,0,0,0,無
中和區,土地,三民段3-1地號,11.02,都市：其他:人行步道,,,1111209,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,833250,75613,,0,0,包含公共設施保留地用地；,RPUQMLPLKIHGFHF09DA,0,0,0,無
中和區,土地,員山段862地號,1.02,,,,1111209,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,24401,23923,,0,0,包含公共設施保留地用地；,SPUQMLPLKIHGFHF56DA,0,0,0,無
中和區,土地,三民段3-1地號,23.1,都市：其他:人行步道,,,1111209,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,1674110,72472,,0,0,包含公共設施保留地用地；,SPVQMLPLKIHGFHF66DA,0,0,0,無
中和區,房地(土地+建物),新北市中和區連城路４２８巷１６弄７號五樓,24.75,住,,,1111218,土地1建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690314,88.25,3,2,1,有,無,9200000,104249,,0,0,,RPPOMLLJJHIGFHF67DA,88.25,0,0,無
中和區,土地,三民段3-1地號,0.21,都市：其他:人行步道,,,1111206,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,16220,0,,0,0,包含公共設施保留地用地；,RPWQMLQKKIHGFHF66DA,0,0,0,無
中和區,土地,員山段862地號,0.01,,,,1111206,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,350,0,,0,0,包含公共設施保留地用地；,SPWQMLQKKIHGFHF76DA,0,0,0,無
中和區,土地,三民段3-1地號,2.2,都市：其他:人行步道,,,1111201,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,166668,75758,,0,0,包含公共設施保留地用地；,RPWPMLKLKIHGFHF68DA,0,0,0,無
中和區,土地,員山段862地號,0.2,,,,1111201,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,4879,0,,0,0,包含公共設施保留地用地；,SPWPMLKLKIHGFHF78DA,0,0,0,無
中和區,土地,三民段3-1地號,0.79,都市：其他:人行步道,,,1111202,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,59524,0,,0,0,包含公共設施保留地用地；,RPOQMLKLKIHGFHF97DA,0,0,0,無
中和區,土地,員山段862地號,0.07,,,,1111202,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1744,0,,0,0,包含公共設施保留地用地；,SPOQMLKLKIHGFHF08DA,0,0,0,無
中和區,土地,三民段3-1地號,0.64,都市：其他:人行步道,,,1111205,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,48666,0,,0,0,包含公共設施保留地用地；,RPQQMLKLKIHGFHF18DA,0,0,0,無
中和區,土地,員山段862地號,0.04,,,,1111205,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1046,0,,0,0,包含公共設施保留地用地；,SPQQMLKLKIHGFHF28DA,0,0,0,無
中和區,土地,三民段3-1地號,1.29,都市：其他:人行步道,,,1111206,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,97334,75453,,0,0,包含公共設施保留地用地；,RPUQMLKLKIHGFHF58DA,0,0,0,無
中和區,土地,員山段862地號,0.09,,,,1111206,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2092,0,,0,0,包含公共設施保留地用地；,SPUQMLKLKIHGFHF68DA,0,0,0,無
中和區,土地,三民段3-1地號,2.15,都市：其他:人行步道,,,1111205,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,162223,75453,,0,0,包含公共設施保留地用地；,RPVQMLKLKIHGFHF68DA,0,0,0,無
中和區,土地,員山段862地號,0.15,,,,1111205,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,3486,0,,0,0,包含公共設施保留地用地；,SPVQMLKLKIHGFHF78DA,0,0,0,無
中和區,房地(土地+建物)+車位,新北市中和區橋和路１６０巷２０號九樓,15.92,住,,,1111221,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,871230,150.33,3,2,2,有,有,19600000,130052,坡道平面,15,2000000,,RPQTMLQLKIHGFHF09DA,80.26,1.11,8.75,有
中和區,房地(土地+建物),新北市中和區興南路二段１２８巷９弄５號,31.12,住,,,1111212,土地2建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,681130,89.45,5,0,5,有,無,10500000,117384,,0,0,陽台外推；,RPTNMLTJJHIGFHF78DA,89.45,0,0,無
中和區,房地(土地+建物),新北市中和區福美路３０１巷７號,26.93,住,,,1111221,土地1建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660917,82.8,3,1,2,有,無,10000000,120773,,0,0,,RPXRMLKKJHIGFHF78DA,82.8,0,0,無
中和區,房地(土地+建物),新北市中和區四維街２９號六樓,9.65,住,,,1111211,土地1建物1車位0,六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1010120,92.87,2,2,1,有,有,14460000,155702,,0,0,其他增建；,RPVQMLKKJHIGFHF48DA,54.62,4.57,4.58,有
