no,name,area,address,management,"localcall service",areacode
1,訊塘社區公園(公兒十),八里區,新北市八里區商港路與中山路二段路口,八里區公所,(02)26102621,65000230
2,"南山公園 (公兒三)",八里區,新北市八里區賢三街30號對面,八里區公所,(02)26102621,65000230
3,北河公園(公兒二),八里區,新北市八里區忠孝路與忠八街路口,八里區公所,(02)26102621,65000230
4,舊城公園(公兒七),八里區,新北市八里區中山路二段303巷底,八里區公所,(02)26102621,65000230
5,大崁環保公園,八里區,新北市八里區觀海大道29號對面,八里區公所,(02)26102621,65000230
6,龍源公園,八里區,新北市八里區龍形一街與龍形二街交叉處,八里區公所,(02)26102621,65000230
7,文昌公園(兒四),八里區,"中庄段1號地號 中山路二段與文昌路口",八里區公所,(02)26102621,65000230
8,狀元公園(兒五),八里區,"中庄段242號 文昌五街與狀元路口 ",八里區公所,(02)26102621,65000230
9,片仔溝公園(兒六),八里區,"中庄段282號 中華路二段258巷與中華路口",八里區公所,(02)26102621,65000230
10,商港路旁綠地(兒九),八里區,商港段25號地號商港路(中山路二段500巷底),八里區公所,(02)26102621,65000230
11,水仙公園(公六),八里區,訊塘段1號商港路與商港3路口,八里區公所,(02)26102621,65000230
12,商港公園(公七),八里區,"台北港段66號地號 商港8路與商港7路口",八里區公所,(02)26102621,65000230
13,訊庄埔公園(公八),八里區,"訊塘段10號地號 中山路三段(廖添丁廟旁)  ",八里區公所,(02)26102621,65000230
14,八里區行政大樓(公博二),八里區,"台北港段121號地號 八里大道與商港一路 ",八里區公所,(02)26102621,65000230
15,頂罟活動中心綠地(公博三),八里區,"台北港段274號地號八里大道與中山路二段     ",八里區公所,(02)26102621,65000230
16,訊塘廣場(廣場用地),八里區,"訊塘段39號地號訊塘一路與訊塘二路(廖添丁廟旁) ",八里區公所,(02)26102621,65000230
17,商港一路綠地(兒九),八里區,新北市八里區中山路二段500巷與商港一路交叉街口,八里區公所,(02)26102621,65000230
18,渡船頭公園,八里區,新北市八里區龍米路二段201巷,新北市八里區公所,(02)26102621,65000230
19,公博一公園,八里區,"台北港段123號地號 八里大道與商港三路",新北市立十三行博物館,(02)26191313,65000230
20,新北考古公園(公五),八里區,商港三路2號,新北市立十三行博物館,(02)26191313,65000230
21,兒三公園,三芝區,公正街旁,三芝區公所,(02)26362111,65000210
22,兒二公園,三芝區,長安街巷內,三芝區公所,(02)26362111,65000210
23,兒一公園,三芝區,淡金路二段43號巷內,三芝區公所,(02)26362111,65000210
24,慈生公園(遊五),三重區,三和路四段191巷78號,三重區公所,(02)29862345,65000020
25,慈祐公園(遊四),三重區,仁愛街425巷9-1號,三重區公所,(02)29862345,65000020
26,慈化公園(遊三),三重區,溪尾街327號,三重區公所,(02)29862345,65000020
27,永盛公園(公十八),三重區,車路頭街133號﹝義天宮旁﹞,三重區公所,(02)29862345,65000020
28,永豐公園(遊八),三重區,永福街197巷6-1號,三重區公所,(02)29862345,65000020
29,五華公園(遊一),三重區,仁義街228巷12號,三重區公所,(02)29862345,65000020
30,五常公園(遊二),三重區,五華街7巷30號,三重區公所,(02)29862345,65000020
31,永福公園(遊七),三重區,力行路二段162巷55號,三重區公所,(02)29862345,65000020
32,慈愛公園(公十五),三重區,仁美街108巷13號,三重區公所,(02)29862345,65000020
33,碧華公園,三重區,溪尾街(東區圖書館對面),三重區公所,(02)29862345,65000020
34,福田公園(公二七),三重區,三民街261號對面,三重區公所,(02)29862345,65000020
35,興華公園(公三二),三重區,中華路5號,三重區公所,(02)29862345,65000020
36,重陽公園(公三三),三重區,重陽路1段60巷101號,三重區公所,(02)29862345,65000020
37,重新公園(公四十二),三重區,重新路五段254-1號重新橋下,三重區公所,(02)29862345,65000020
38,"聯邦公園 (公二九)",三重區,中華路125號,三重區公所,(02)29862345,65000020
39,光興公園,三重區,正義南路62號之1旁,三重區公所,(02)29862345,65000020
40,公36同安公園,三重區,正義南路、同安東街交叉口,三重區公所,(02)29862345,65000020
41,公35同安公園,三重區,文化南路、福德南路交叉口,三重區公所,(02)29862345,65000020
42,"菜寮公園 (公十三)",三重區,中寮街57巷18號,三重區公所,(02)29862345,65000020
43,玫瑰公園(公四五),三重區,集美街60號,三重區公所,(02)29862345,65000020
44,大同公園(公九),三重區,大同北路186號,三重區公所,(02)29862345,65000020
45,信義公園(公八),三重區,文化北路、信義西街交叉口,三重區公所,(02)29862345,65000020
46,大智公園,三重區,大同北路61號對面,三重區公所,(02)29862345,65000020
47,"過圳公園 (公十二)",三重區,過圳街19號,三重區公所,(02)29862345,65000020
48,開元公園(公三十),三重區,長元街65巷16弄16號對面,三重區公所,(02)29862345,65000020
49,永德公園(公廿),三重區,自強路三段43巷23號,三重區公所,(02)29862345,65000020
50,小永德公園,三重區,忠孝路一段、大智街口,三重區公所,(02)29862345,65000020
51,後竹圍公園(公廿一),三重區,自強路3段62巷25號對面,三重區公所,(02)29862345,65000020
52,厚德公園(公十九),三重區,忠孝路一段21巷,三重區公所,(02)29862345,65000020
53,和平公園(公廿三、廿四),三重區,忠孝路2段35號,三重區公所,(02)29862345,65000020
54,六合公園(公廿五),三重區,自強路二段50巷,三重區公所,(02)29862345,65000020
55,"三張公園 (公廿二)",三重區,大智街(重陽路四段忠孝路一段),三重區公所,(02)29862345,65000020
56,介壽公園(公十七),三重區,三和路三段〈高速公路匝道〉,三重區公所,(02)29862345,65000020
