新北市公園經緯度
{'lat': 24.9988727, 'lng': 121.4682847}
{'lat': 24.9966339, 'lng': 121.4664546}
{'lat': 24.9983155, 'lng': 121.4680196}
{'lat': 24.995096, 'lng': 121.497428}
{'lat': 25.0003025, 'lng': 121.4727178}
{'lat': 25.0043154, 'lng': 121.4804504}
{'lat': 24.9990328, 'lng': 121.4807262}
{'lat': 24.9887075, 'lng': 121.5146016}
{'lat': 24.9882033, 'lng': 121.5005737}
{'lat': 24.9913029, 'lng': 121.5021833}
{'lat': 24.9960325, 'lng': 121.5227552}
{'lat': 24.997724, 'lng': 121.511772}
{'lat': 25.0021718, 'lng': 121.5009606}
{'lat': 24.9887416, 'lng': 121.4985099}
{'lat': 25.0061561, 'lng': 121.4932993}
{'lat': 25.0013203, 'lng': 121.4823833}
{'lat': 24.9845346, 'lng': 121.5067874}
{'lat': 25.0015376, 'lng': 121.4743118}
{'lat': 25.0065096, 'lng': 121.4879701}
{'lat': 24.9943021, 'lng': 121.4667092}
{'lat': 24.9962178, 'lng': 121.4853103}
{'lat': 25.0037015, 'lng': 121.5087308}
{'lat': 25.0029681, 'lng': 121.501011}
{'lat': 24.9924219, 'lng': 121.5040127}
{'lat': 24.9967877, 'lng': 121.4967663}
{'lat': 25.002283, 'lng': 121.4955644}
{'lat': 24.9950542, 'lng': 121.4809994}
{'lat': 24.9802032, 'lng': 121.5029963}
{'lat': 25.0118283, 'lng': 121.4955002}
{'lat': 24.993945, 'lng': 121.4970771}
{'lat': 25.0098417, 'lng': 121.4874492}
{'lat': 25.0069084, 'lng': 121.4949323}
{'lat': 25.0119188, 'lng': 121.4874628}
{'lat': 25.0107707, 'lng': 121.4859369}
{'lat': 25.0131219, 'lng': 121.4863744}
{'lat': 25.0112485, 'lng': 121.487163}
{'lat': 24.999326, 'lng': 121.488305}
{'lat': 24.9926349, 'lng': 121.490381}
