item,name,county,countycode,town,areacode,address,phone,types
"1	",下庄公有市場,新北市,65000,八里區,65000230,新北市八里區舊城路19號,(02)26101533,早市
"2	",中央公有市場,新北市,65000,三重區,65000020,新北市三重區中央北路26號,(02)29754991,早市
"3	",光明公有市場,新北市,65000,三重區,65000020,新北市三重區重安街70號,(02)29772735,早市
"4	",重新公有市場,新北市,65000,三重區,65000020,新北市三重區重新路87-6號,(02)29754991,早市
"5	",光明公有市場2樓,新北市,65000,"三重區 ",65000020,新北市三重區重安街70號2樓,," 超市 "
"6	","三峽公有市場 ",新北市,65000,"三峽區 ",65000090,新北市三峽區民生街186號,(02)86721664,"早市 "
"7	",礁溪公有市場,新北市,65000,三峽區,65000090,新北市三峽區光明路71號,,超市
"8	",土城公有零售市場,新北市,65000,土城區,65000130,新北市土城區中正路18號,(02)29410176,早市及黃昏市場
"9	",頂埔公有市場,新北市,65000,土城區,65000130,新北市土城區中州路28巷30號,,超市
"10	",民享公有市場,新北市,65000,中和區,65000030,新北市中和區民享街37號,(02)22492868,早市及黃昏市場
"11	",枋寮公有市場,新北市,65000,中和區,65000030,新北市中和區中和路74號,(02)22492868,早市
12,和平街攤販集中區,新北市,65000,中和區,65000030,新北市中和區和平街89號,(02)29410176,黃昏市場
"13	",永安公有市場,新北市,65000,永和區,65000040,新北市永和區安樂路431號,(02)29256805,早市
"14	",溪洲公有市場,新北市,65000,永和區,65000040,新北市永和區勵行街42-1號,(02)29256803,早市
"15	",金龍公有市場,新北市,65000,汐止區,65000110,新北市汐止區中興路250號,(02)86933583,早市
"16	",秀豐公有市場(攤集區),新北市,65000,汐止區,65000110,新北市汐止火車站臺鐵橋下,(02)86462351,黃昏市場
"17	",中正公有市場,新北市,65000,汐止區,65000110,新北市汐止區中正路206號,(02)86462351,早市
"18	",忠厚公有市場,新北市,65000,汐止區,65000110,新北市汐止區樟樹一路137巷26號,(02)86462231,早市
"19	",林森攤販集中區,新北市,65000,汐止區,65000110,"汐止國道高速公路高架橋下(15K+265至15K+397) ",(02)86462231,早市
"20	",觀光攤販集中區,新北市,65000,汐止區,65000110,新北市汐止區水源路一段至新興路之臺鐵橋下,(02)86462351,夜市
21,湳興公有市場,新北市,65000,板橋區,65000010,新北市板橋區中興路63號,(02)29663624,早市
"22	",黃石公有市場(中繼),新北市,65000,板橋區,65000010,新北市板橋區公館街1號,(02)29663624,早市
"23	",後埔公有市場,新北市,65000,板橋區,65000010,新北市板橋區大華街5號,(02)29663624,早市
24,東勢公有市場,新北市,65000,林口區,65000170,新北市林口區林口區麗園一街35號,(02)29004000,早市
"25	",林口公有市場,新北市,65000,林口區,65000170,新北市林口區林口路15號,(02)26020082,早市
"26	",麗林公有市場,新北市,65000,林口區,65000170,新北市林口區公園路59號,,超市
27,第一公有市場,新北市,65000,金山區,65000270,新北市金山區中山路188號,(02)24926381,早市
"28	",泰山公有市場,新北市,65000,泰山區,65000160,新北市泰山區全興路212號,(02)29004000,早市
"29	",澳底公有市場,新北市,65000,貢寮區,65000260,新北市貢寮區仁愛路79號,(02)24930205,早市
"30	",中山公有零售市場,新北市,65000,淡水區,65000100,新北市淡水區中山路77號,(02)26219669,早市
"31	",中正美食廣場,新北市,65000,淡水區,65000100,新北市淡水區中正路115號,(02)26219669,美食廣場
"32	",深坑公有市場,新北市,65000,深坑區,65000180,新北市深坑區平埔街22巷8號,,超市
"33	",中央公有市場,新北市,65000,新店區,65000060,新北市新店區中央五街60號,(02)22191865,店家
"34	",碧潭公有市場,新北市,65000,新店區,65000060,新北市新店區新店路159號,(02)29143391,早市
"35	",安康公有市場,新北市,65000,新店區,65000060,新北市新店區安康路二段120號,,超市
"36	",中央公有市場,新北市,65000,新店區,65000060,新北市新店區中央五街60號,,超市
"37	",第一公有市場,新北市,65000,新莊區,65000050,新北市新莊區新莊路315號,(02)29926228,早市
"38	",第一公有市場,新北市,65000,瑞芳區,65000120,新北市瑞芳區明燈路三段2號,(02)84974251,早市
"39	",瑞芳美食廣場,新北市,65000,瑞芳區,65000120,新北市瑞芳區民生街35巷2號,(02)24974251,美食廣場
"40	",野柳攤販集中場,新北市,65000,萬里區,65000280,新北市萬里區野柳里港東路攤販街2號,(02)24926381,賣店區
"41	",萬里公有市場,新北市,65000,萬里區,65000280,新北市萬里區瑪鋉路261號,(02)24926381,早市
"42	",保安攤販集中區,新北市,65000,樹林區,65000070,"保安街一段14巷 ",(02)26846492,早市
"43	",雙溪公有市場,新北市,65000,雙溪區,65000250,新北市雙溪區太平路50號,(02)24930205,早市
"44	",蘆洲公有市場,新北市,65000,蘆洲區,65000140,新北市蘆洲區成功路160號,(02)22817273,美食廣場
"45	",永平公有市場,新北市,65000,蘆洲區,65000140,新北市蘆洲區永平街1號,(02)22817273,早市
"46	",長安公有市場,新北市,65000,蘆洲區,65000140,新北市蘆洲區長安街96號,,超市
"47	",鶯歌公有市場,新北市,65000,鶯歌區,65000080,新北市鶯歌區建國路108號1樓、B1樓,(02)26780352,早市
"48	",鶯歌美食廣場,新北市,65000,鶯歌區,65000080,新北市鶯歌區建國路108號2樓,(02)26780352,美食廣場
"49	",五股公有零售市場,新北市,65000,五股區,65000150,新北市五股區工商路3號,,早、午市
