name,longitude,latitude
捷運公園,121.4449944444,25.16715
八里左岸公園,121.4304388889,25.1609194444
龍米河濱公園,121.4469916667,25.1446416667
米倉公園,121.4463777778,25.1462
觀山公園,121.4617277778,25.1233277778
關渡水岸公園,121.4625,25.1234388889
關渡自然公園,121.4679388889,25.1152888889
富州河濱公園,121.4761916667,25.1050444444
疏洪生態公園,121.4585444444,25.1001944444
福安河濱公園,121.4933277778,25.0965611111
疏洪蘆堤公園,121.4569138889,25.0921972222
淡水河畔公園,121.4906388889,25.0936888889
疏洪圳邊公園,121.4511694444,25.0888972222
疏洪沼澤公園,121.4521055556,25.0774361111
疏洪追風公園,121.4557916667,25.0797361111
疏洪中央公園,121.4609083333,25.0695527778
大佳河濱公園,121.5327194444,25.0754722222
迎風河濱公園,121.5524722222,25.074
疏洪親水公園,121.4708027778,25.0664611111
疏洪荷花公園,121.4758861111,25.0641944444
幸福水漾公園,121.4804222222,25.0567111111
三重環保河濱公園,121.4743305556,25.0434388889
二重疏洪運動公園,121.4825194444,25.0492111111
江子翠河口景觀河濱公園,121.4808611111,25.0378722222
龍山河濱公園,121.4917166667,25.0375833333
雁鴨公園,121.4883555556,25.0342861111
雙園河濱公園,121.4872777778,25.0327416667
西盛環保河濱公園,121.444975,25.0256666667
光復賞鳥河濱公園,121.4364777778,25.0222916667
華中河濱公園,121.4965416667,25.0137583333
馬場町紀念公園,121.5043833333,25.0190666667
青年公園,121.5052972222,25.0231055556
中正河濱公園,121.5139805556,25.0226361111
永和綠寶石河濱公園,121.508225,25.0183583333
古亭河濱公園,121.5249333333,25.0146777778
福和河濱公園,121.5303666667,25.0103166667
景美河濱公園,121.5363472222,24.9907027778
秀朗清溪公園,121.52365,24.9835666667
親情河濱公園,121.535475,24.9653055556
陽光運動公園,121.5203638889,24.9767222222
浮洲藝術河濱公園,121.4407055556,25.003475
板橋環保公園,121.4401305556,24.9914222222
溪洲運動公園,121.4361638889,24.9777555556
樹林環保河濱公園,121.4126722222,24.9699277778
土城馬祖田運動公園,121.4194666667,24.9664055556
土城環保公園,121.412575,24.9644777778
柑園河濱公園,121.3886666667,24.9674472222
三鶯陶瓷公園,121.3513694444,24.9372861111
南靖陶藝河濱公園,121.3463972222,24.93595
鳶山公園,121.3552194444,24.9312916667
三鶯運動公園,121.3503583333,24.9353305556
綠光河岸公園,121.5181138889,25.0185916667
金色水岸河濱公園,121.442725,25.1681722222
江翠礫間水岸公園,121.4853861111,25.0255555556
福和運動公園,121.5271972222,25.00715
