Markets_geocoding
{'lat': 25.00354, 'lng': 121.474151}
{'lat': 25.000504, 'lng': 121.501019}
{'lat': 24.9920858, 'lng': 121.5053413}
{'lat': 25.0025603, 'lng': 121.4924664}
{'lat': 25.0030314, 'lng': 121.4988184}
{'lat': 24.9924085, 'lng': 121.5164033}
{'lat': 25.0018853, 'lng': 121.4960574}
{'lat': 24.9932475, 'lng': 121.5047146}
{'lat': 25.0058219, 'lng': 121.4799036}
{'lat': 25.0033531, 'lng': 121.4753288}
{'lat': 24.9905691, 'lng': 121.5030633}
{'lat': 24.9910796, 'lng': 121.4924186}
{'lat': 24.9947666, 'lng': 121.4661395}
{'lat': 24.991129, 'lng': 121.5112766}
{'lat': 24.9982692, 'lng': 121.4840997}
{'lat': 24.9908784, 'lng': 121.5243476}
{'lat': 24.9960811, 'lng': 121.5029865}
{'lat': 25.0040645, 'lng': 121.5052387}
{'lat': 25.0055659, 'lng': 121.4787058}
{'lat': 24.9993202, 'lng': 121.498577}
{'lat': 24.9947291, 'lng': 121.5182537}
{'lat': 25.0052964, 'lng': 121.4993827}
{'lat': 24.9992659, 'lng': 121.4685998}
{'lat': 24.9921612, 'lng': 121.5037843}
{'lat': 24.9894402, 'lng': 121.5093727}
{'lat': 24.9810374, 'lng': 121.5070329}
{'lat': 24.9978416, 'lng': 121.4960166}
{'lat': 24.9845672, 'lng': 121.5076414}
{'lat': 25.0021568, 'lng': 121.4970006}
{'lat': 24.9912017, 'lng': 121.5152513}
{'lat': 24.9937963, 'lng': 121.5002649}
{'lat': 24.9976914, 'lng': 121.5113733}
{'lat': 24.9868506, 'lng': 121.5140113}
{'lat': 25.0012246, 'lng': 121.4816763}
{'lat': 24.9996832, 'lng': 121.4681579}
