超市名,平均房價,房屋數量
民享公有市場,136934.49214659687,191
枋寮公有市場,151871.9061488673,309
和平街攤販集中區,154905.25490196078,459
好市多,136860.58634538154,249
大潤發中和店,150303.530259366,347
大潤發景平店,168742.4221635884,379
家樂福中和店,147753.00621118012,322
家樂福景安店,154969.94327731093,476
家樂福中和中山店,138180.26490066224,151
家樂福中和民治店,137353.7528735632,174
家樂福中和復興店,157974.8201058201,189
家樂福中和圓通店,124117.79130434783,115
家樂福中和壽德店,130248.5,48
家樂福中和興南店,161742.0353130016,623
全聯中和新生店,130098.43971631206,282
全聯中和秀朗店,146612.8719512195,164
全聯南華店,155947.30501930503,259
全聯中和光華店,159541.43262411348,141
全聯中和中山店,140358.85714285713,147
全聯中和景平店,152298.25974025973,308
全聯中和大勇店,152835.7258064516,248
全聯中和福祥店,148637.60218978103,274
全聯中和民德店,134193.26573426573,143
全聯中和南山店,162736.09302325582,258
全聯中和南勢角店,161460.5636672326,589
全聯中和華夏店,125195.1948051948,154
全聯中和安邦店,145513.19540229885,435
全聯中和華新店,128895.63043478261,230
全聯中和捷運店,148651.66472303207,343
全聯中和景德店,168305.92119565216,368
全聯中和中正店,155988.17131474105,251
全聯中和宜安店,165381.83707865168,178
全聯中和景新店,146330.98684210525,152
全聯中和民樂店,137381.5824742268,194
南崁聯福利中心-民德店,135437.77622377622,143
