X,Y,MARKID,MARKTYPE1,MARKTYPE2,MARKNAME1,MARKNAME2,MDATE,ADDRESS,TEL
121.537683042861,24.958197863033,F0000003261,"9960103",,臺北捷運新店站_G01,北捷新店站_G01,"201904",新北市新店區北宜路一段2號,02-218-12345
121.537732574858,24.9582106125616,F0000003151,"9960103",,臺北捷運新店站-出入口,北捷新店站-出入口,"201904",新北市新店區北新路一段與北宜路一段交叉口,
121.418546677553,24.9589837172989,F0000010541,"9960103",,臺北捷運頂埔站-出入口2,北捷頂埔站-出入口2,"202201",新北市土城區中央路四段，近鴻海精密工業,
121.418552523535,24.9591603210369,F0000000573,"9960103",,臺北捷運頂埔站_BL01,北捷頂埔站_BL01,"201906",新北市土城區中央路四段51之6號B3,02-218-12345
121.418341021687,24.9593407765665,F0000009516,"9960103",,臺北捷運頂埔站-出入口1,北捷頂埔站-出入口1,"202201",新北市土城區中央路四段約100號旁,
121.419777382833,24.9596429562118,F0000010542,"9960103",,臺北捷運頂埔站-出入口3,北捷頂埔站-出入口3,"202201",新北市土城區中央路四段51之6號，近嵿埔之星科技廣場,
121.419555425765,24.9600255588903,F0000016371,"9960103",,臺北捷運頂埔站-出入口4,北捷頂埔站-出入口4,"202201",新北市土城區中央路四段62號旁,
121.435801327971,24.965965708561,F0000003152,"9960103",,臺北捷運永寧站-出入口2,北捷永寧站-出入口2,"202201",新北市土城區中央路三段、承天路口,
121.435563543319,24.966671817906,F0000003153,"9960103",,臺北捷運永寧站-出入口1,北捷永寧站-出入口1,"201904",新北市土城區中央路三段98巷口,
121.436275937166,24.9668762175852,F0000003235,"9960103",,臺北捷運永寧站_BL02,北捷永寧站_BL02,"202201",新北市土城區中央路三段105號B1,02-218-12345
121.43709438941,24.9672077724349,F0000003154,"9960103",,臺北捷運永寧站-出入口3,北捷永寧站-出入口3,"202201",新北市土城區中央路三段、近89巷口,
121.436817696425,24.9674930194673,F0000003155,"9960103",,臺北捷運永寧站-出入口4,北捷永寧站-出入口4,"202201",新北市土城區中央路三段60號,
121.541123804033,24.9674228147426,F0000003156,"9960103",,臺北捷運新店區公所站-出入口1,北捷新店區公所站-出入口1,"201904",新北市新店區北新路一段295號與中華路交叉口,
121.541491349835,24.9677304132273,F0000003262,"9960103",,臺北捷運新店區公所站_G02,北捷新店區公所站_G02,"201904",新北市新店區北新路一段295號,02-218-12345
121.541799770566,24.9679249586232,F0000003157,"9960103",,臺北捷運新店區公所站-出入口2,北捷新店區公所站-出入口2,"201904",新北市新店區北新路一段與北新路88巷交叉口,
121.53088476992,24.9716034390433,F0000003265,"9960103",,臺北捷運小碧潭站_G03A,北捷小碧潭站_G03A,"202201",新北市新店區中央路151號4樓,02-218-12345
121.530023459588,24.9718344960645,F0000003158,"9960103",,臺北捷運小碧潭站-出入口1,北捷小碧潭站-出入口1,"202201",新北市新店區環河路與中央路交叉口,
121.443719257887,24.9727594805456,F0000003159,"9960103",,臺北捷運土城站-出入口2,北捷土城站-出入口2,"202201",新北市土城區金城路一段、和平路交叉口、近戶政事務所,
121.444400105125,24.9731818492952,F0000003236,"9960103",,臺北捷運土城站_BL03,北捷土城站_BL03,"201906",新北市土城區金城路一段105號B1,02-218-12345
121.444190805404,24.9732791934318,F0000003160,"9960103",,臺北捷運土城站-出入口1,北捷土城站-出入口1,"201904",新北市土城區金城路一段、近金城公園,
121.530138238041,24.9731765485517,F0000012141,"9960103",,臺北捷運小碧潭站-出入口2,北捷小碧潭站-出入口2,"202201",新北市新店區中央路與中央三街交叉口,
121.445268935218,24.9736453361211,F0000003162,"9960103",,臺北捷運土城站-出入口3,北捷土城站-出入口3,"202201",新北市土城區金城路一段,
121.543125631318,24.9749228163716,F0000003163,"9960103",,臺北捷運七張站-出入口1,北捷七張站-出入口1,"201904",新北市新店區北新路二段150號,
121.542920314892,24.9758898210914,F0000003263,"9960103",,臺北捷運七張站_G03,北捷七張站_G03,"201904",新北市新店區北新路二段150號,02-218-12345
121.542677026191,24.976900976103,F0000003164,"9960103",,臺北捷運七張站-出入口2,北捷七張站-出入口2,"201904",新北市新店區北新路二段、鄰近明德路口、近新店郵局,
121.54166931076,24.9822088085865,F0000003165,"9960103",,臺北捷運大坪林站-出入口2,北捷大坪林站-出入口2,"202201",新北市新店區北新路三段142巷口,
121.543066439847,24.982755923687,F0000016527,"9960103",,臺北捷運大坪林站-出入口5,北捷大坪林站-出入口5,"202201",新北市新店區中興路三段與民權路路口西南隅,
121.5410244455,24.9827907066866,F0000003166,"9960103",,臺北捷運大坪林站-出入口1,北捷大坪林站-出入口1,"201904",新北市新店區民權路27號、北新路三段與民權路路口,
121.541344954558,24.9829255953818,F0000016532,"9960103",,臺北捷運大坪林站_G04,北捷大坪林站_G04,"202405",新北市新店區北新路三段190號,02-218-12345
121.541354445983,24.9829265557604,F0000019324,"9960103",,新北捷運大坪林站_Y07,新北捷大坪林站_Y07,"202405",新北市新店區北新路三段190號,
121.541604929669,24.9831591194442,F0000007658,"9960103",,臺北捷運大坪林站-出入口3,北捷大坪林站-出入口3,"201904",新北市新店區北新路三段190號、北新路三段與民權路路口、鄰近消防署,
121.541536553464,24.9835864715747,F0000007654,"9960103",,臺北捷運大坪林站-出入口4,北捷大坪林站-出入口4,"202201",新北市新店區北新路三段200號、鄰近景美橋,
121.527966012819,24.9841759264774,F0000016553,"9960103",,新北捷運十四張站-出入口,新北捷十四張站-出入口,"202405",新北市新店區溪園路與民權路東南隅,
121.527588334175,24.9844549176373,F0000016556,"9960103",,新北捷運十四張站_Y08,新北捷十四張站_Y08,"202405",新北市新店區民權路282號,02-218-12345
121.448987577733,24.9853659618076,F0000003167,"9960103",,臺北捷運海山站-出入口2,北捷海山站-出入口2,"202201",新北市土城區海山路、新北高工運動場旁,
